timestamp,outdoor_temp,outdoor_feels_like,outdoor_pressure,outdoor_humidity,outdoor_weather,outdoor_pm25,outdoor_pm10,indoor_temp,indoor_light
2024-04-23 11:00:07,36.03,43.03,1009.0,63.0,Clouds,124.0,65.0,31.0,50.0
2024-04-23 11:05:06,36.03,43.03,1009.0,63.0,Clouds,124.0,65.0,31.0,49.0
2024-04-23 11:10:06,35.79,42.79,1008.0,64.0,Clouds,126.0,65.0,31.0,47.0
2024-04-23 11:15:06,35.79,42.79,1008.0,64.0,Clouds,126.0,65.0,31.0,42.0
2024-04-23 11:20:06,36.6,43.6,1008.0,59.0,Clouds,124.0,65.0,31.25,44.0
2024-04-23 11:25:06,36.6,43.6,1008.0,59.0,Clouds,124.0,65.0,31.25,44.0
2024-04-23 12:00:43,37.17,44.17,1008.0,56.0,Clouds,136.0,68.0,32.25,44.0
2024-04-23 12:05:43,37.09,44.09,1008.0,55.0,Clouds,134.0,67.0,31.75,45.0
2024-04-23 12:10:43,37.05,44.05,1008.0,55.0,Clouds,134.0,67.0,31.5,45.0
2024-04-23 12:15:43,37.09,44.09,1008.0,55.0,Clouds,131.0,67.0,31.5,44.0
2024-04-23 12:20:45,38.01,45.01,1007.0,52.0,Clouds,131.0,67.0,31.5,40.0
2024-04-23 12:25:43,37.99,44.99,1007.0,52.0,Clouds,131.0,67.0,31.5,41.0
2024-04-23 12:30:43,37.99,44.99,1007.0,52.0,Clouds,124.0,64.0,31.5,45.0
2024-04-23 12:35:43,38.01,45.01,1007.0,50.0,Clouds,124.0,64.0,31.5,45.0
2024-04-23 12:40:43,38.01,45.01,1007.0,50.0,Clouds,126.0,65.0,31.5,46.0
2024-04-23 12:45:43,38.01,45.01,1007.0,50.0,Clouds,126.0,65.0,31.5,46.0
2024-04-23 12:50:43,38.24,45.24,1007.0,50.0,Clouds,124.0,63.0,31.5,44.0
2024-04-23 12:55:46,38.24,45.24,1007.0,50.0,Clouds,124.0,63.0,31.5,46.0
2024-04-23 13:00:43,38.54,45.54,1007.0,48.0,Clouds,124.0,63.0,31.5,47.0
2024-04-23 13:05:43,38.54,45.54,1007.0,48.0,Clouds,124.0,63.0,31.5,47.0
2024-04-23 13:10:43,37.43,44.43,1007.0,49.0,Clouds,121.0,63.0,31.75,48.0
2024-04-23 13:15:43,37.43,44.43,1006.0,49.0,Clouds,124.0,64.0,31.75,48.0
2024-04-23 13:20:44,37.43,44.43,1007.0,49.0,Clouds,124.0,64.0,31.5,49.0
2024-04-23 13:25:44,37.43,44.43,1006.0,49.0,Clouds,124.0,64.0,31.75,49.0
2024-04-23 13:30:44,37.43,44.43,1006.0,49.0,Clouds,121.0,64.0,31.75,49.0
2024-04-23 13:35:44,37.43,44.43,1006.0,49.0,Clouds,121.0,64.0,31.75,46.0
2024-04-23 13:40:44,37.5,44.5,1006.0,49.0,Clouds,116.0,62.0,32.0,51.0
2024-04-23 13:45:44,37.5,44.5,1006.0,49.0,Clouds,114.0,61.0,32.0,51.0
2024-04-23 13:50:44,38.04,45.04,1006.0,46.0,Clouds,114.0,61.0,32.0,52.0
2024-04-23 13:55:44,38.04,45.04,1006.0,46.0,Clouds,116.0,63.0,32.0,51.0
2024-04-23 14:00:44,38.19,45.19,1006.0,45.0,Clouds,116.0,63.0,32.0,52.0
2024-04-23 14:05:44,38.19,45.19,1006.0,45.0,Clouds,109.0,60.0,32.0,52.0
2024-04-23 14:10:44,38.97,45.97,1005.0,44.0,Clouds,109.0,60.0,32.0,53.0
